Code,Governance Units,Provinces,Districts,Name of Government Unit,Total population,Total expected live birth,Population under 1 year,Population 12 - 23 months,Nutrition (0-23 Month),Nutrition (6-23 months),Population under 5 years ARI/ CDD/ Nutrition,Population aged 6-59 months,Nutrition (12-59 Month),Adolescent population aged 10-19 years,Female population aged 15-49 years,Married Female population aged 15-49 years,Total expected pregnancies
30902,Rural Municipality,Province 3,Kavrepalanchok,Bhumlu Rural Municipality,19405,433,419,384,803,594,1868,1659,1449,4299,5414,4104,511
30903,Municipality ,Province 3,Kavrepalanchok,Mandan Deupur Municipality,33893,756,731,664,1395,1030,3340,2975,2609,7088,9925,7523,892
30904,Municipality ,Province 3,Kavrepalanchok,Banepa Municipality,60198,1343,1300,1138,2438,1784,5467,4813,4167,11781,18635,14126,1583
30905,Municipality ,Province 3,Kavrepalanchok,Dhulikhel Municipality,36074,804,778,682,1460,1071,3336,2947,2558,7285,10982,8324,948
30906,Municipality ,Province 3,Kavrepalanchok,Panchkhal Municipality,41642,929,899,745,1644,1195,3810,3361,2911,8244,12045,9130,1096
30907,Rural Municipality,Province 3,Kavrepalanchok,Temal Rural Municipality,23025,513,497,352,849,601,1976,1728,1479,5776,6284,4763,605
30908,Municipality ,Province 3,Kavrepalanchok,Namobuddha Municipality,31092,693,671,659,1330,995,3161,2826,2490,6511,9036,6849,817
30909,Municipality ,Province 3,Kavrepalanchok,Panauti Municipality,49697,1108,1072,939,2011,1475,4571,4035,3499,10181,15524,11767,1307
30910,Rural Municipality,Province 3,Kavrepalanchok,Bethanchowk Rural Municipality,17371,387,375,411,786,599,1905,1718,1530,3792,5072,3845,456
30911,Rural Municipality,Province 3,Kavrepalanchok,Roshi Rural Municipality,29726,663,641,748,1389,1069,3520,3200,2879,6727,8025,6083,782
30912,Rural Municipality,Province 3,Kavrepalanchok,Mahabharat Rural Municipality,19105,426,412,753,1165,959,3226,3020,2814,4405,4571,3465,502
30913,Rural Municipality,Province 3,Kavrepalanchok,Khanikhola Rural Municipality,15108,337,326,559,885,722,2499,2336,2173,3459,3635,2755,397
31001,Rural Municipality,Province 3,Ramechhap,Umakunda Rural Municipality,18175,421,408,421,829,625,2024,1820,1616,3845,5302,4019,496
31002,Rural Municipality,Province 3,Ramechhap,Gokulganga Rural Municipality,20756,481,466,511,977,744,2300,2067,1834,4396,6374,4831,567
31003,Rural Municipality,Province 3,Ramechhap,Likhu Rural Municipality,23473,544,526,512,1038,775,2499,2236,1973,5080,6977,5289,642
