"","Code","fid","Governance.Units","Provinces","Districts","Name.of.Government.Unit","Hospital","Primary.Health.Care.Centers","Health.Post","Urban.Health.Centers","Community.Health.Unit","Other.Health.Facilities","Total","Non.public.health.facilities","Total.health.facilities..Public.and.Non.Public.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"88",10210,89,"Municipality ","Koshi Province","Sankhuwasabha","Dharmadevi Municipality",0,0,3,4,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"89",10206,90,"Municipality ","Koshi Province","Sankhuwasabha","Khandabari Municipality",1,0,5,2,0,0,8,7,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"90",10209,91,"Municipality ","Koshi Province","Sankhuwasabha","Madi Municipality",0,0,3,1,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,""
"91",10202,92,"Rural Municipality","Koshi Province","Sankhuwasabha","Makalu Rural Municipality",0,0,5,0,3,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"92",10207,93,"Municipality ","Koshi Province","Sankhuwasabha","Panchakhapan Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"93",10205,94,"Rural Municipality","Koshi Province","Sankhuwasabha","Sabhapokhari Rural Municipality",0,0,3,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,""
"94",10203,95,"Rural Municipality","Koshi Province","Sankhuwasabha","Silichong Rural Municipality",0,1,3,0,0,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"95",10609,96,"Rural Municipality","Koshi Province","Bhojpur","Aamchowk Rural Municipality",0,0,8,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,""
"96",10605,97,"Rural Municipality","Koshi Province","Bhojpur","Arun Rural Municipality",0,1,5,0,1,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"97",10604,98,"Municipality ","Koshi Province","Bhojpur","Bhojpur Municipality",1,0,7,1,0,1,10,5,15,NA,NA,NA,NA,NA,NA,NA,NA,""
"98",10608,99,"Rural Municipality","Koshi Province","Bhojpur","Hatuwagadhi Rural Municipality",0,1,5,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"99",10606,100,"Rural Municipality","Koshi Province","Bhojpur","Pauwa Dunma Rural Municipality",0,0,6,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,""
"100",10607,101,"Rural Municipality","Koshi Province","Bhojpur","Ramprasad Rai Rural Municipality",0,0,7,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,""
"101",10602,102,"Rural Municipality","Koshi Province","Bhojpur","Salpa Silichho Rural Municipality",0,0,4,0,1,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,""
"102",10601,103,"Municipality ","Koshi Province","Bhojpur","Shadananda Municipality",0,1,9,1,0,0,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,""
"103",10603,104,"Rural Municipality","Koshi Province","Bhojpur","Tyamke Maiyum Rural Municipality",0,0,9,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,""
